Broadcast Year,Broadcast Quarter,Service Type,Market, Total Quarterly Hours 
2023,Quarter 1,Broadcaster Video on Demand,Ontario," 28,660,367 "
2023,Quarter 1,Broadcaster Video on Demand,Quebec," 28,356,033 "
2023,Quarter 1,Free Ad-Supported TV,Ontario," 3,469,050 "
2023,Quarter 1,Free Ad-Supported TV,Quebec," 6,144,167 "
2023,Quarter 1,Linear TV,Ontario," 3,385,701,433 "
2023,Quarter 1,Linear TV,Quebec," 2,516,755,567 "
2023,Quarter 1,Social Media,Ontario," 1,205,257,317 "
2023,Quarter 1,Social Media,Quebec," 387,549,183 "
2023,Quarter 1,Subscription Video on Demand & Other,Quebec," 263,412,783 "
2023,Quarter 1,Subscription Video on Demand & Other,Ontario," 776,783,267 "
2023,Quarter 2,Broadcaster Video on Demand,Quebec," 23,977,700 "
2023,Quarter 2,Broadcaster Video on Demand,Ontario," 23,818,517 "
2023,Quarter 2,Free Ad-Supported TV,Ontario," 8,941,900 "
2023,Quarter 2,Free Ad-Supported TV,Quebec," 4,230,283 "
2023,Quarter 2,Linear TV,Quebec," 2,628,015,583 "
2023,Quarter 2,Linear TV,Ontario," 3,484,512,867 "
2023,Quarter 2,Social Media,Ontario," 1,242,350,517 "
2023,Quarter 2,Social Media,Quebec," 397,018,533 "
2023,Quarter 2,Subscription Video on Demand & Other,Ontario," 796,301,850 "
2023,Quarter 2,Subscription Video on Demand & Other,Quebec," 266,881,733 "
2023,Quarter 3,Broadcaster Video on Demand,Quebec," 22,901,167 "
2023,Quarter 3,Broadcaster Video on Demand,Ontario," 25,219,850 "
2023,Quarter 3,Free Ad-Supported TV,Ontario," 8,666,600 "
2023,Quarter 3,Free Ad-Supported TV,Quebec," 1,486,117 "
2023,Quarter 3,Linear TV,Ontario," 3,353,135,917 "
2023,Quarter 3,Linear TV,Quebec," 2,443,656,600 "
2023,Quarter 3,Social Media,Quebec," 344,930,817 "
2023,Quarter 3,Social Media,Ontario," 1,266,348,433 "
2023,Quarter 3,Subscription Video on Demand & Other,Ontario," 584,982,717 "
2023,Quarter 3,Subscription Video on Demand & Other,Quebec," 236,498,200 "
2023,Quarter 4,Broadcaster Video on Demand,Quebec," 15,074,983 "
2023,Quarter 4,Broadcaster Video on Demand,Ontario," 15,979,700 "
2023,Quarter 4,Free Ad-Supported TV,Ontario," 11,378,417 "
2023,Quarter 4,Free Ad-Supported TV,Quebec," 3,896,767 "
2023,Quarter 4,Linear TV,Ontario," 2,866,933,817 "
2023,Quarter 4,Linear TV,Quebec," 2,124,024,717 "
2023,Quarter 4,Social Media,Quebec," 392,903,633 "
2023,Quarter 4,Social Media,Ontario," 1,318,241,733 "
2023,Quarter 4,Subscription Video on Demand & Other,Quebec," 256,966,983 "
2023,Quarter 4,Subscription Video on Demand & Other,Ontario," 635,228,417 "
2024,Quarter 1,Broadcaster Video on Demand,Ontario," 18,607,250 "
2024,Quarter 1,Broadcaster Video on Demand,Quebec," 25,175,400 "
2024,Quarter 1,Free Ad-Supported TV,Quebec," 6,450,767 "
2024,Quarter 1,Free Ad-Supported TV,Ontario," 15,385,250 "
2024,Quarter 1,Linear TV,Quebec," 2,470,832,917 "
2024,Quarter 1,Linear TV,Ontario," 2,929,947,167 "
2024,Quarter 1,Social Media,Quebec," 488,553,917 "
2024,Quarter 1,Social Media,Ontario," 1,298,743,383 "
2024,Quarter 1,Subscription Video on Demand & Other,Ontario," 677,615,267 "
2024,Quarter 1,Subscription Video on Demand & Other,Quebec," 252,607,517 "
2024,Quarter 2,Broadcaster Video on Demand,Quebec," 27,764,367 "
2024,Quarter 2,Broadcaster Video on Demand,Ontario," 21,001,667 "
2024,Quarter 2,Free Ad-Supported TV,Quebec," 4,416,567 "
2024,Quarter 2,Free Ad-Supported TV,Ontario," 14,856,200 "
2024,Quarter 2,Linear TV,Ontario," 2,983,447,667 "
2024,Quarter 2,Linear TV,Quebec," 2,619,545,283 "
2024,Quarter 2,Social Media,Ontario," 1,230,881,500 "
2024,Quarter 2,Social Media,Quebec," 430,129,317 "
2024,Quarter 2,Subscription Video on Demand & Other,Ontario," 690,215,167 "
2024,Quarter 2,Subscription Video on Demand & Other,Quebec," 252,729,367 "
2024,Quarter 3,Broadcaster Video on Demand,Quebec," 26,027,800 "
2024,Quarter 3,Broadcaster Video on Demand,Ontario," 27,950,533 "
2024,Quarter 3,Free Ad-Supported TV,Ontario," 11,882,017 "
2024,Quarter 3,Free Ad-Supported TV,Quebec," 3,987,817 "
2024,Quarter 3,Linear TV,Ontario," 2,887,274,200 "
2024,Quarter 3,Linear TV,Quebec," 2,439,137,917 "
2024,Quarter 3,Social Media,Quebec," 459,206,867 "
2024,Quarter 3,Social Media,Ontario," 1,218,285,300 "
2024,Quarter 3,Subscription Video on Demand & Other,Ontario," 652,745,400 "
2024,Quarter 3,Subscription Video on Demand & Other,Quebec," 232,996,500 "
2024,Quarter 4,Broadcaster Video on Demand,Ontario," 30,223,833 "
2024,Quarter 4,Broadcaster Video on Demand,Quebec," 18,784,733 "
2024,Quarter 4,Free Ad-Supported TV,Ontario," 11,848,867 "
2024,Quarter 4,Free Ad-Supported TV,Quebec," 1,861,300 "
2024,Quarter 4,Linear TV,Quebec," 2,105,656,150 "
2024,Quarter 4,Linear TV,Ontario," 2,697,682,367 "
2024,Quarter 4,Social Media,Ontario," 1,129,968,533 "
2024,Quarter 4,Social Media,Quebec," 473,573,817 "
2024,Quarter 4,Subscription Video on Demand & Other,Ontario," 586,423,467 "
2024,Quarter 4,Subscription Video on Demand & Other,Quebec," 242,514,900 "
2025,Quarter 1,Broadcaster Video on Demand,Quebec," 25,519,250 "
2025,Quarter 1,Broadcaster Video on Demand,Ontario," 24,002,583 "
2025,Quarter 1,Free Ad-Supported TV,Ontario," 16,267,667 "
2025,Quarter 1,Free Ad-Supported TV,Quebec," 3,275,417 "
2025,Quarter 1,Linear TV,Quebec," 2,279,321,917 "
2025,Quarter 1,Linear TV,Ontario," 2,795,886,350 "
2025,Quarter 1,Social Media,Ontario," 1,379,274,467 "
2025,Quarter 1,Social Media,Quebec," 507,824,333 "
2025,Quarter 1,Subscription Video on Demand & Other,Quebec," 219,253,283 "
2025,Quarter 1,Subscription Video on Demand & Other,Ontario," 655,270,667 "
2025,Quarter 2,Broadcaster Video on Demand,Ontario," 27,015,733 "
2025,Quarter 2,Broadcaster Video on Demand,Quebec," 27,329,400 "
2025,Quarter 2,Free Ad-Supported TV,Quebec," 4,688,667 "
2025,Quarter 2,Free Ad-Supported TV,Ontario," 26,349,117 "
2025,Quarter 2,Linear TV,Quebec," 2,415,337,983 "
2025,Quarter 2,Linear TV,Ontario," 2,892,652,917 "
2025,Quarter 2,Social Media,Quebec," 522,612,433 "
2025,Quarter 2,Social Media,Ontario," 1,218,141,733 "
2025,Quarter 2,Subscription Video on Demand & Other,Quebec," 222,103,267 "
2025,Quarter 2,Subscription Video on Demand & Other,Ontario," 678,249,467 "
2025,Quarter 3,Broadcaster Video on Demand,Quebec," 28,580,767 "
2025,Quarter 3,Broadcaster Video on Demand,Ontario," 35,828,983 "
2025,Quarter 3,Free Ad-Supported TV,Quebec," 4,722,100 "
2025,Quarter 3,Free Ad-Supported TV,Ontario," 34,932,667 "
2025,Quarter 3,Linear TV,Quebec," 2,269,004,417 "
2025,Quarter 3,Linear TV,Ontario," 2,797,392,783 "
2025,Quarter 3,Social Media,Ontario," 971,237,333 "
2025,Quarter 3,Social Media,Quebec," 422,271,967 "
2025,Quarter 3,Subscription Video on Demand & Other,Quebec," 199,274,183 "
2025,Quarter 3,Subscription Video on Demand & Other,Ontario," 577,296,117 "
